id,name,age,number,position,photo,team_id,team_name
369,Diogo Costa,26,1,Goalkeeper,https://media.api-sports.io/football/players/369.png,27,Portugal
1590,José Sá,32,12,Goalkeeper,https://media.api-sports.io/football/players/1590.png,27,Portugal
46672,Rui Silva,31,22,Goalkeeper,https://media.api-sports.io/football/players/46672.png,27,Portugal
161939,Tomás Araújo,23,4,Defender,https://media.api-sports.io/football/players/161939.png,27,Portugal
855,João Cancelo,31,20,Defender,https://media.api-sports.io/football/players/855.png,27,Portugal
886,Diogo Dalot,26,5,Defender,https://media.api-sports.io/football/players/886.png,27,Portugal
567,Rúben Dias,28,3,Defender,https://media.api-sports.io/football/players/567.png,27,Portugal
265595,Gonçalo Inácio,24,14,Defender,https://media.api-sports.io/football/players/265595.png,27,Portugal
263482,Nuno Mendes,23,25,Defender,https://media.api-sports.io/football/players/263482.png,27,Portugal
130,Nélson Semedo,32,2,Defender,https://media.api-sports.io/football/players/130.png,27,Portugal
336671,Renato Veiga,22,13,Defender,https://media.api-sports.io/football/players/336671.png,27,Portugal
190485,Samú Costa,25,24,Midfielder,https://media.api-sports.io/football/players/190485.png,27,Portugal
1485,Bruno Fernandes,31,8,Midfielder,https://media.api-sports.io/football/players/1485.png,27,Portugal
335051,João Neves,21,15,Midfielder,https://media.api-sports.io/football/players/335051.png,27,Portugal
2676,Rúben Neves,28,21,Midfielder,https://media.api-sports.io/football/players/2676.png,27,Portugal
41621,Matheus Nunes,27,6,Midfielder,https://media.api-sports.io/football/players/41621.png,27,Portugal
636,Bernardo Silva,31,10,Midfielder,https://media.api-sports.io/football/players/636.png,27,Portugal
128384,Vitinha,25,23,Midfielder,https://media.api-sports.io/football/players/128384.png,27,Portugal
161585,Francisco Conceição,23,26,Midfielder,https://media.api-sports.io/football/players/161585.png,27,Portugal
925,Gonçalo Guedes,29,19,Attacker,https://media.api-sports.io/football/players/925.png,27,Portugal
583,João Félix,26,11,Midfielder,https://media.api-sports.io/football/players/583.png,27,Portugal
22236,Rafael Leão,26,17,Midfielder,https://media.api-sports.io/football/players/22236.png,27,Portugal
1864,Pedro Neto,25,18,Midfielder,https://media.api-sports.io/football/players/1864.png,27,Portugal
41585,Gonçalo Ramos,24,9,Attacker,https://media.api-sports.io/football/players/41585.png,27,Portugal
874,Cristiano Ronaldo,40,7,Attacker,https://media.api-sports.io/football/players/874.png,27,Portugal
41112,Trincão,26,16,Midfielder,https://media.api-sports.io/football/players/41112.png,27,Portugal
